Model,Version,Size,Class,Precision,Recall,F1-Score,mAP50,mAP50-95
YOLOv8l,8,l,fear,0.6633,0.6502,0.6567,0.7451,0.6639
YOLOv8l,8,l,happy,0.6819,0.9018,0.7766,0.8969,0.8333
YOLOv8l,8,l,neutral,0.5155,0.7923,0.6246,0.7182,0.6558
YOLOv8l,8,l,sad,0.6130,0.5615,0.5861,0.6252,0.5505
YOLOv8l,8,l,surprise,0.6322,0.7677,0.6934,0.7878,0.7121
YOLOv9s,9,s,anger,0.5735,0.6281,0.5996,0.6589,0.5654
YOLOv9s,9,s,content,0.7234,0.6167,0.6658,0.7576,0.7102
YOLOv9s,9,s,disgust,0.6606,0.4519,0.5367,0.6218,0.5714
YOLOv9s,9,s,fear,0.7838,0.5800,0.6667,0.7499,0.6823
YOLOv9s,9,s,happy,0.7087,0.9018,0.7937,0.8945,0.8312
YOLOv9s,9,s,neutral,0.5527,0.7231,0.6265,0.7236,0.6629
YOLOv9s,9,s,sad,0.6881,0.5215,0.5933,0.6614,0.5922
YOLOv9s,9,s,surprise,0.6560,0.7778,0.7117,0.7451,0.6809
YOLOv9m,9,m,anger,0.5299,0.6198,0.5714,0.6668,0.5725
YOLOv9m,9,m,content,0.7110,0.7417,0.7260,0.7410,0.6981
YOLOv9m,9,m,disgust,0.5749,0.5333,0.5533,0.5881,0.5342
YOLOv9m,9,m,fear,0.6797,0.6000,0.6374,0.7095,0.6364
YOLOv9m,9,m,happy,0.6773,0.9286,0.7833,0.8949,0.8335
YOLOv9m,9,m,neutral,0.4807,0.8190,0.6059,0.6906,0.6343
YOLOv9m,9,m,sad,0.6110,0.5273,0.5661,0.6199,0.5559
YOLOv9m,9,m,surprise,0.6159,0.7576,0.6794,0.7209,0.6576
YOLOv9t,9,t,anger,0.5756,0.6777,0.6225,0.6890,0.5856
YOLOv9t,9,t,content,0.6178,0.7583,0.6809,0.7603,0.7125
YOLOv9t,9,t,disgust,0.6039,0.5385,0.5693,0.6452,0.5979
YOLOv9t,9,t,fear,0.7294,0.7500,0.7396,0.7824,0.7052
YOLOv9t,9,t,happy,0.6496,0.9286,0.7645,0.9014,0.8407
YOLOv9t,9,t,neutral,0.4957,0.8167,0.6170,0.7030,0.6368
YOLOv9t,9,t,sad,0.5603,0.6025,0.5806,0.6334,0.5656
YOLOv9t,9,t,surprise,0.5998,0.8283,0.6958,0.7688,0.6961
YOLOv9c,9,c,anger,0.5377,0.5124,0.5248,0.6268,0.5378
YOLOv9c,9,c,content,0.7584,0.6800,0.7171,0.7704,0.7247
YOLOv9c,9,c,disgust,0.6031,0.4383,0.5077,0.5994,0.5536
YOLOv9c,9,c,fear,0.7509,0.6000,0.6670,0.7131,0.6423
YOLOv9c,9,c,happy,0.6903,0.9018,0.7820,0.8737,0.8265
YOLOv9c,9,c,neutral,0.5008,0.7870,0.6121,0.6750,0.6170
YOLOv9c,9,c,sad,0.6791,0.4545,0.5446,0.6139,0.5501
YOLOv9c,9,c,surprise,0.6473,0.6970,0.6712,0.7287,0.6671
