Model,Version,Size,Class,Precision,Recall,F1-Score,mAP50,mAP50-95
YOLOv8m,8,m,neutral,0.6063,0.7997,0.6897,0.7232,0.5833
YOLOv8m,8,m,sad,0.5194,0.6545,0.5791,0.5842,0.4613
YOLOv8m,8,m,surprise,0.6800,0.7715,0.7229,0.8039,0.6395
YOLOv8l,8,l,angry,0.5778,0.6873,0.6278,0.6778,0.5302
YOLOv8l,8,l,disgust,0.5955,0.4795,0.5312,0.5497,0.4163
YOLOv8l,8,l,fear,0.4561,0.5683,0.5060,0.5354,0.4211
YOLOv8l,8,l,happy,0.8651,0.9005,0.8824,0.9295,0.7497
YOLOv8l,8,l,neutral,0.6039,0.7475,0.6681,0.7066,0.5761
YOLOv8l,8,l,sad,0.5196,0.6570,0.5803,0.5838,0.4675
YOLOv8l,8,l,surprise,0.6592,0.7914,0.7192,0.7955,0.6316
YOLOv9s,9,s,angry,0.6001,0.6326,0.6159,0.6609,0.5210
YOLOv9s,9,s,disgust,0.5432,0.3873,0.4522,0.4230,0.3118
YOLOv9s,9,s,fear,0.4896,0.4890,0.4893,0.5308,0.4125
YOLOv9s,9,s,happy,0.8612,0.8970,0.8787,0.9374,0.7568
YOLOv9s,9,s,neutral,0.6114,0.7733,0.6829,0.7306,0.5922
YOLOv9s,9,s,sad,0.5307,0.6632,0.5896,0.5790,0.4573
YOLOv9s,9,s,surprise,0.7015,0.7860,0.7413,0.7975,0.6349
YOLOv9m,9,m,angry,0.6373,0.6283,0.6327,0.6671,0.5225
YOLOv9m,9,m,disgust,0.4211,0.3953,0.4078,0.3718,0.2957
YOLOv9m,9,m,fear,0.4861,0.4912,0.4886,0.5309,0.4124
YOLOv9m,9,m,happy,0.8784,0.9027,0.8904,0.9387,0.7607
YOLOv9m,9,m,neutral,0.6217,0.7424,0.6767,0.7263,0.5892
YOLOv9m,9,m,sad,0.5561,0.6021,0.5782,0.5889,0.4604
YOLOv9m,9,m,surprise,0.7300,0.7881,0.7579,0.8050,0.6323
YOLOv9t,9,t,angry,0.5635,0.6482,0.6029,0.6516,0.5020
YOLOv9t,9,t,disgust,0.3521,0.2326,0.2801,0.2679,0.2015
YOLOv9t,9,t,fear,0.4331,0.5330,0.4779,0.4790,0.3702
YOLOv9t,9,t,happy,0.8391,0.9072,0.8718,0.9414,0.7515
YOLOv9t,9,t,neutral,0.5627,0.7862,0.6559,0.7239,0.5829
YOLOv9t,9,t,sad,0.5090,0.6748,0.5803,0.5760,0.4504
YOLOv9t,9,t,surprise,0.6911,0.7914,0.7379,0.7904,0.6245
YOLOv9c,9,c,angry,0.6317,0.6040,0.6175,0.6659,0.5192
YOLOv9c,9,c,disgust,0.4316,0.3488,0.3858,0.4494,0.3421
YOLOv9c,9,c,fear,0.5137,0.4824,0.4975,0.5317,0.4112
YOLOv9c,9,c,happy,0.8803,0.9073,0.8936,0.9399,0.7534
YOLOv9c,9,c,neutral,0.6277,0.7475,0.6823,0.7263,0.5884
YOLOv9c,9,c,sad,0.5583,0.6178,0.5866,0.5806,0.4561
YOLOv9c,9,c,surprise,0.7114,0.7755,0.7421,0.7868,0.6148
